date,open,high,low,close
1969-03-30,1.0,15.31,14.47,15.06
1969-04-06,1.0,15.1675,14.695,14.735
1969-04-13,1.0,15.38,14.62,15.28
1969-04-20,1.0,15.75,14.94,15.19
1969-04-27,1.0,15.22,14.81,14.81
1969-05-04,1.0,16.0,14.84,16.0
1969-05-11,1.0,16.56,15.75,16.38
1969-05-18,1.0,17.0,15.62,15.75
1969-05-25,1.0,16.44,15.81,16.12
1969-06-01,1.0,16.25,15.12,15.4975
1969-06-08,1.0,15.69,14.94,15.06
1969-06-15,1.0,15.31,14.62,14.75
1969-06-22,1.0,15.06,14.62,14.69
1969-06-29,1.0,15.0,14.5,14.69
1969-07-06,1.0,15.19,14.5,15.1275
1969-07-13,1.0,15.12,14.25,14.38
1969-07-20,1.0,14.88,14.06,14.31
1969-07-27,1.0,14.3725,13.19,13.38
1969-08-03,1.0,14.0,12.69,14.0
1969-08-10,1.0,14.12,13.38,13.38
1969-08-17,1.0,14.0,13.19,13.75
1969-08-24,1.0,14.44,13.56,13.94
1969-08-31,1.0,14.0,12.88,13.12
1969-09-07,1.0,13.88,13.059999999999999,13.44
1969-09-14,1.0,13.81,13.0,13.5
1969-09-21,1.0,14.69,13.5,14.31
1969-09-28,1.0,14.94,14.25,14.31
1969-10-05,1.0,14.88,13.62,14.44
1969-10-12,1.0,14.38,13.19,13.56
1969-10-19,1.0,14.81,13.44,14.81
1969-10-26,1.0,15.5,14.69,15.38
1969-11-02,1.0,15.62,14.81,15.38
1969-11-09,1.0,16.0,15.0,15.62
1969-11-16,1.0,15.69,15.0,15.25
1969-11-23,1.0,15.38,14.0,14.38
1969-11-30,1.0,15.44,14.12,15.38
1969-12-07,1.0,15.38,14.31,14.62
1969-12-14,1.0,14.88,13.75,14.5
1969-12-21,1.0,14.62,13.75,14.12
1969-12-28,1.0,14.88,13.94,14.62
1970-01-04,1.0,15.88,14.38,15.75
1970-01-11,15.69,15.69,14.5,14.5
1970-01-18,14.5,14.81,14.25,14.31
1970-01-25,14.31,14.62,14.06,14.25
1970-02-01,14.25,14.56,13.06,13.06
1970-02-08,13.06,14.19,12.81,13.94
1970-02-15,13.94,14.19,12.75,13.38
1970-02-22,13.38,13.44,12.75,13.25
1970-03-01,13.14,13.75,12.94,13.75
1970-03-08,13.75,14.5,13.75,14.0
1970-03-15,13.88,13.94,13.25,13.25
1970-03-22,13.25,13.56,12.81,13.19
1970-03-29,13.19,14.19,13.12,13.935
1970-04-05,14.06,14.06,13.31,13.69
1970-04-12,13.62,13.62,13.0,13.12
1970-04-19,13.12,13.25,12.56,12.62
1970-04-26,12.62,12.94,11.88,11.88
1970-05-03,11.88,12.12,11.25,11.62
1970-05-10,11.62,11.94,11.25,11.69
1970-05-17,11.69,12.12,11.31,11.62
1970-05-24,11.62,11.75,11.06,11.31
1970-05-31,11.31,11.81,10.5,11.81
1970-06-07,11.81,12.88,11.69,12.19
1970-06-14,12.19,12.69,11.88,12.19
1970-06-21,12.19,12.75,12.12,12.56
1970-06-28,12.56,13.19,12.38,12.56
1970-07-05,12.5,13.0,12.25,12.685
1970-07-12,12.75,12.88,11.75,12.88
1970-07-19,12.88,13.12,12.62,12.94
1970-07-26,13.0,13.25,12.06,12.44
1970-08-02,12.44,12.94,12.44,12.62
1970-08-09,12.62,12.88,12.56,12.88
1970-08-16,12.88,13.0,12.56,12.62
1970-08-23,12.62,13.75,12.5,13.62
1970-08-30,13.69,14.06,13.56,13.81
1970-09-06,13.81,13.94,13.25,13.88
1970-09-13,13.8325,14.06,13.5,13.75
1970-09-20,13.75,13.94,13.44,13.88
1970-09-27,13.88,14.06,13.44,13.81
1970-10-04,13.81,13.81,13.38,13.56
1970-10-11,13.56,14.19,13.38,13.69
1970-10-18,13.69,13.81,13.5,13.62
1970-10-25,13.62,13.81,13.5,13.75
1970-11-01,13.75,13.81,13.56,13.69
1970-11-08,13.69,14.5,13.56,14.5
1970-11-15,14.5,15.0,13.62,13.88
1970-11-22,13.88,14.19,13.62,14.06
1970-11-29,14.06,14.62,14.0,14.56
1970-12-06,14.62,15.69,14.56,15.0
1970-12-13,15.0,15.88,15.0,15.44
1970-12-20,15.44,15.75,14.88,15.62
1970-12-27,15.62,16.0,15.5,15.955
1971-01-03,15.94,16.19,15.7025,15.815000000000001
1971-01-10,15.88,16.5,15.38,16.25
1971-01-17,16.25,16.31,15.44,15.69
1971-01-24,15.69,15.94,15.25,15.5
1971-01-31,15.5,15.62,14.62,15.06
1971-02-07,15.06,15.38,15.0,15.25
1971-02-14,15.25,16.25,15.19,15.69
1971-02-21,15.735,16.12,15.5,15.69
1971-02-28,15.56,15.56,14.81,15.19
1971-03-07,15.19,15.38,15.06,15.38
1971-03-14,15.38,16.12,15.38,15.62
1971-03-21,15.62,16.0,15.38,15.62
1971-03-28,15.62,15.62,14.62,15.19
1971-04-04,15.19,15.62,15.12,15.19
1971-04-11,15.19,15.485,15.0,15.3125
1971-04-18,15.31,16.25,15.31,16.19
1971-04-25,16.19,17.5,16.19,17.25
1971-05-02,17.12,17.12,16.0,16.19
1971-05-09,16.19,16.38,15.5,16.12
1971-05-16,16.12,16.38,15.69,16.0
1971-05-23,15.88,16.25,15.56,15.94
1971-05-30,15.94,16.12,15.56,15.94
1971-06-06,15.907499999999999,16.5,15.735,16.12
1971-06-13,16.12,16.56,16.06,16.38
1971-06-20,16.38,16.69,16.06,16.25
1971-06-27,16.25,16.31,15.69,15.88
1971-07-04,15.88,16.75,15.75,16.31
1971-07-11,16.3875,17.0,16.12,17.0
1971-07-18,16.94,16.94,16.12,16.44
